
This file was downloaded on 2022-06-19T16:13:05 UTC from snrcat.physics.umanitoba.ca
SNR_id;source_id;energy_domain;instrument;angular_resolution;source;year
G337.8-00.1;3EG J1639-4702;gamma_GeV;EGRET;(missed);(source not confirmed in revised catalogue);2008
G337.8-00.1;2FGL J1638.0-4703c, 3FGL J1638.6-4654;gamma_GeV;Fermi;extended;shock+cloud?;2018
G337.8-00.1;;gamma_TeV;HESS;(missed);;2011
G337.8-00.1;;X;XMM;extended;shell;2015
G338.1+00.4;;X;ASCA;detected;?;2001
G338.1+00.4;3EG J1639-4702;gamma_GeV;EGRET;(missed);(source not confirmed in revised catalogue);2008
G338.1+00.4;;gamma_GeV;Fermi;(missed);;2016
G338.1+00.4;;gamma_TeV;HESS;(missed);;2011
G338.3-00.0;;gamma_GeV;AGILE;detected;PWN? (not in last catalogue);2019
G338.3-00.0;;X;ASCA;detected;?;2001
G338.3-00.0;G338.3-00.0;X;Chandra;extended;PWN;2021
G338.3-00.0;3EG J1639-4702;gamma_GeV;EGRET;(missed);(source not confirmed in revised catalogue);2008
G338.3-00.0;1FGL J1640.8-4634c, 2FGL J1640.5-4633, 1FHL J1640.5-4634, 3FGL J1640.4-4634c, 2FHL J1640.6-4632, 3FHL J1640.6-4633;gamma_GeV;Fermi;extended;PWN? shell?;2021
G338.3-00.0;HESS J1640-465;gamma_TeV;HESS;extended;shock+cloud/shell?, PWN?;2018
G338.3-00.0;;X;NuSTAR;detected;PSR;2016
G338.3-00.0;;X;Swift;detected;PWN?;2006
G338.3-00.0;;X;XMM;extended;PWN;2021
G338.5+00.1;;X;Chandra;detected;?;2021
G338.5+00.1;3FGL J1641.1-4619c, 3FHL J1641.1-4619;gamma_GeV;Fermi;detected;shell? PWN?;2021
G338.5+00.1;HESS J1641-463;gamma_TeV;HESS;detected;shell?;2020
G338.5+00.1;;X;XMM;detected;?;2014
G340.4+00.4;;gamma_GeV;Fermi;(missed);;2016
G340.4+00.4;;gamma_TeV;HESS;(missed);;2011
G340.6+00.3;G340.6+0.3;X;ASCA;extended;?;
G340.6+00.3;G340.6+00.3;X;Chandra;extended;(partial) shell;2010
G340.6+00.3;;gamma_GeV;Fermi;(missed);;2016
G340.6+00.3;;gamma_TeV;HESS;(missed);;2011
G341.2+00.9;;gamma_GeV;Fermi;(missed);;2016
G341.2+00.9;;gamma_TeV;HESS;(missed);;2018
G341.9-00.3;;gamma_GeV;Fermi;(missed);;2016
G341.9-00.3;;gamma_TeV;HESS;(missed);;2018
G342.0-00.2;;gamma_GeV;Fermi;(missed);;2016
G342.0-00.2;;gamma_TeV;HESS;(missed);;2018
G342.1+00.9;;gamma_GeV;Fermi;(missed);;2016
G342.1+00.9;;gamma_TeV;HESS;(missed);;2018
G343.0-06.0;EGR J1710-4435;gamma_GeV;EGRET;detected;?;2008
G343.0-06.0;2FGL J1727.3-4611, 3FGL J1722.9-4529 and J1728.0-4606, 3FHL J1733.8-4734;gamma_GeV;Fermi;detected;shell?;2017
G343.1-00.7;;gamma_GeV;Fermi;(missed);;2016
G343.1-00.7;;gamma_TeV;HESS;(missed);;2018
G343.1-02.3;1AGL J1709-4428, 2AGL J1710-4429;gamma_GeV;AGILE;detected;PSR, PWN? shell?;2019
G343.1-02.3;;X;ASCA;detected;PSR;2001
G343.1-02.3;;X;BeppoSAX;detected;PSR;2002
G343.1-02.3;;gamma_TeV;CANGAROO;(missed);(FALSE detection);2009
G343.1-02.3;G343.0-02.6;X;Chandra;extended;PSR + PWN;2020
G343.1-02.3;EGR J1710-4435, 3EG J1710-4439, GeV J1709-4430;gamma_GeV;EGRET;detected;PSR;2008
G343.1-02.3;0FGL J1709.7-4428, 1FGL J1709.7-4428, 2FGL J1709.7-4429, 1FHL J1709.7-4429, 3FGL J1709.7-4429, 3FHL J1709.7-4429;gamma_GeV;Fermi;detected;PSR;2017
G343.1-02.3;HESS J1708-443;gamma_TeV;HESS;extended;shell? PWN ?;2018
G343.1-02.3;;X;ROSAT;detected;PWN?;1995
G343.1-02.3;GeV J1709-4430, 3EG J1710-4439;X;RXTE;detected;PSR;1999
G343.1-02.3;;X;XMM;detected;PSR;2004
G344.7+00.1;CXOU J170252.4-412848;X;Chandra;extended;PWN?;2008
G344.7+00.1;;gamma_GeV;Fermi;detected;PSR (not present in last catalogue);2015
G344.7+00.1;HESS J1702-420;gamma_TeV;HESS;extended;PWN? (not associated in HGPS);2022
G344.7+00.1;;X;Suzaku;extended;unrelated point sources;2011
G344.7-00.1;;X;ASCA;extended;shell;2005
G344.7-00.1;G344.7-00.1;X;Chandra;extended;shell, CCO?;2020
G344.7-00.1;2FHL J1703.4-4145, 3FHL J1703.4-4145;gamma_GeV;Fermi;detected;shell? cloud?;2020
G344.7-00.1;HESS J1702-420;gamma_TeV;HESS;extended;shell?;2022
G344.7-00.1;;X;Suzaku;extended;shell;2014
G344.7-00.1;;X;XMM;extended;shock;2011
G345.7-00.2;;gamma_GeV;Fermi;detected;?;2016
G345.7-00.2;HESS J1708-410;gamma_TeV;HESS;detected;cloud? (not associated in HGPS);2018
G345.7-00.2;;X;XMM;(missed);;2009
G346.6-00.2;;X;ASCA;extended;shell;2014
G346.6-00.2;;gamma_GeV;Fermi;(missed);;2016
G346.6-00.2;;gamma_TeV;HESS;(missed);;2011
G346.6-00.2;;X;Suzaku;extended;shell;2013
G346.6-00.2;;X;XMM;extended;shell;2017
G347.3-00.5;;gamma_GeV;AGILE;(missed);;2019
G347.3-00.5;G347.5-0.5;X;ASCA;extended;shell;2003
G347.3-00.5;;gamma_TeV;CANGAROO;extended;(part of) shell;2002
G347.3-00.5;G347.3-00.5W and G347.3-00.5C and G347.3-00.5E;X;Chandra;extended;(parts of) shell, CCO;2021
G347.3-00.5;3EG J1714-3857;gamma_GeV;EGRET;(missed);(source not confirmed in revised catalogue);2008
G347.3-00.5;1FGL J1711.7-3944c, 2FGL J1712.4-3941, 1FHL J1713.5-3951e, 3FGL J1713.5-3945e, 2FHL J1713.5-3945e and 2FHL J1714.1-4012, FGES J1713.7-3945, 3FHL J1713.5-3945e;gamma_GeV;Fermi;extended;shell;2017
G347.3-00.5;HESS J1713-397;gamma_TeV;HESS;extended;shell;2018
G347.3-00.5;;X;INTEGRAL-X;detected;?;2007
G347.3-00.5;;X;NuSTAR;extended;shell;2019
G347.3-00.5;RX J1713.7-3946;X;ROSAT;extended;shell;2003
G347.3-00.5;;X;RXTE;(missed);;2003
G347.3-00.5;;X;Suzaku;extended;shell;2015
G347.3-00.5;;X;XMM;extended;shell, CCO;2021
G348.5+00.1;2AGL J1715-3815;gamma_GeV;AGILE;detected;shell?;2019
G348.5+00.1;;X;ASCA;extended;shell;2008
G348.5+00.1;G348.5+00.1;X;Chandra;extended;shell, PWN?;2014
G348.5+00.1;3EG J1714-3857;gamma_GeV;EGRET;(missed);(source not confirmed in revised catalogue);2008
G348.5+00.1;0FGL J1714.7-3827, 1FGL J1714.5-3830c, 2FGL J1714.5-3829, 3FGL J1714.5-3832, FGES J1714.3-3823, 3FHL J1714.4-3829;gamma_GeV;Fermi;extended;shell, shock+cloud?;2020
G348.5+00.1;HESS J1714-385;gamma_TeV;HESS;extended;shock+cloud? shell? PSR+PWN?;2018
G348.5+00.1;;X;Suzaku;extended;shell;2013
G348.5+00.1;;X;XMM;extended;shell;2014
G348.5-00.0;;X;ASCA;(missed);;2014
G348.5-00.0;;X;Chandra;(missed);;2014
G348.5-00.0;3EG J1714-3857;gamma_GeV;EGRET;(missed);(source not confirmed in revised catalogue);2008
G348.5-00.0;;gamma_GeV;Fermi;detected;?;2016
G348.5-00.0;;gamma_TeV;HESS;(missed);;2011
G348.5-00.0;;X;XMM;(missed);;2014
G348.7+00.3;;gamma_GeV;AGILE;detected;shell? (not in last catalogue);2019
G348.7+00.3;;X;ASCA;extended;shell;2008
G348.7+00.3;G348.7+00.3;X;Chandra;extended;shell, magnetar;2019
G348.7+00.3;FGES J1714.3-3823, 3FHL J1714.0-3811;gamma_GeV;Fermi;extended;shell?;2017
G348.7+00.3;HESS J1713-381;gamma_TeV;HESS;extended;shell?;2018
G348.7+00.3;;X;NuSTAR;detected;magnetar;2019
G348.7+00.3;;X;RXTE;(missed);;2010
G348.7+00.3;;X;Suzaku;extended;(partial) shell?, anomalous PSR;2009
G348.7+00.3;;X;XMM;extended;shell, magnetar;2019
G348.9-00.4;;gamma_GeV;AGILE;detected;PWN? (not in last catalogue);2019
G348.9-00.4;;X;Chandra;extended;PWN?;2008
G348.9-00.4;1FGL J1718.2-3825, 2FGL J1718.3-3827, 3FGL J1718.1-3825;gamma_GeV;Fermi;detected;PSR;2015
G348.9-00.4;HESS J1718-385;gamma_TeV;HESS;extended;PWN?;2018
G348.9-00.4;;X;Suzaku;extended;PWN?;2010
G348.9-00.4;;X;XMM;extended;PWN?;2007
G349.2-00.1;;gamma_GeV;Fermi;(missed);;2016
G349.2-00.1;;gamma_TeV;HESS;(missed);;2011
G349.7+00.2;;gamma_GeV;AGILE;detected;shell?;2016
G349.7+00.2;G349.7+0.2;X;ASCA;extended;shell;2002
G349.7+00.2;G349.7+00.2;X;Chandra;extended;shell, CCO?;2005
G349.7+00.2;1FGL J1717.9-3729c, 2FGL J1718.1-3725, 1FHL J1717.9-3725, 3FGL J1718.0-3726, 3FHL J1718.0-3726;gamma_GeV;Fermi;detected;shock+clouds;2017
G349.7+00.2;HESS J1718-374;gamma_TeV;HESS;detected;shell, shock+clouds;2018
G349.7+00.2;;X;Suzaku;extended;shell;2015
G350.0-02.0;G350.0-1.8;X;ASCA;extended;?;
G350.0-02.0;;gamma_GeV;Fermi;(missed);;2016
G350.0-02.0;;gamma_TeV;HESS;(missed);;2018
G350.0-02.0;1RXS J172653.4-382157;X;ROSAT;extended;?;
G350.0-02.0;;X;XMM;extended;shell, PSR?;2016
G350.1-00.3;;X;ASCA;detected;shell?;2001
G350.1-00.3;G350.1-00.3;X;Chandra;extended;(partial) shell, CCO;2021
G350.1-00.3;2FGL J1718.1-3725, 1FHL J1717.9-3725;gamma_GeV;Fermi;(missed);(not associated in last catalogue);2016
G350.1-00.3;;gamma_TeV;HESS;(missed);;2018
G350.1-00.3;;X;Suzaku;extended;shell;2014
G350.1-00.3;;X;XMM;extended;shell, CCO?;2008
G350.2-00.8;CXO J172337.5-373442;X;Chandra;extended;PWN? or HMXB?;2010
G351.0-05.4;3EG J1744-3934;gamma_GeV;EGRET;detected;?;2014
G351.0-05.4;;gamma_GeV;Fermi;(missed);;2014
G351.2+00.1;1FGL J1724.0-3611c;gamma_GeV;Fermi;(missed);;2016
G351.2+00.1;;gamma_TeV;HESS;(missed);;2018
G351.7+00.8;;gamma_GeV;Fermi;(missed);;2016
G351.7+00.8;;gamma_TeV;HESS;(missed);;2018
G351.9-00.9;;gamma_GeV;Fermi;detected;?;2016
G351.9-00.9;;gamma_TeV;HESS;(missed);;2018
G352.7-00.1;;X;ASCA;extended;shell;2001
G352.7-00.1;;X;Chandra;extended;shell;2014
G352.7-00.1;;gamma_GeV;Fermi;detected;?;2016
G352.7-00.1;;gamma_TeV;HESS;(missed);;2011
G352.7-00.1;;X;Suzaku;extended;shell;2014
G352.7-00.1;;X;XMM;extended;shell;2014
G353.6-00.7;;gamma_GeV;AGILE;detected;shell? (not in last catalogue);2019
G353.6-00.7;;X;Chandra;extended;CCO;2021
G353.6-00.7;;gamma_GeV;Fermi;extended;shell, clouds?;2019
G353.6-00.7;HESS J1731-347, HESS J1729-345;gamma_TeV;HESS;extended;shell, illuminated clouds?;2018
G353.6-00.7;;X;ROSAT;extended;(lower half) shell;2008
G353.6-00.7;;X;Suzaku;extended;(parts of) shell, shock+cloud?;2012
G353.6-00.7;;X;Swift;detected;central object?;2010
G353.6-00.7;;X;XMM;extended;shock+cloud?, CCO, magnetar?;2017
G353.9-02.0;;gamma_GeV;Fermi;(missed);;2016
G353.9-02.0;;gamma_TeV;HESS;(missed);;2018
G354.1+00.1;;X;Chandra;(missed);;2012
G354.1+00.1;2FGL J1730.5-3350;gamma_GeV;Fermi;detected;PSR (not present in last catalogue);2016
G354.1+00.1;;gamma_TeV;HESS;(missed);;2011
G354.8-00.8;;gamma_GeV;Fermi;(missed);;2016
G354.8-00.8;;gamma_TeV;HESS;(missed);;2018
G355.4+00.7;2FGL J1731.6-3234c;gamma_GeV;Fermi;extended;shell? (not present in last catalogue);2016
G355.4+00.7;;gamma_TeV;HESS;(missed);;2018
G355.6-00.0;;X;ASCA;detected;shell;2008
G355.6-00.0;EGR J1732-3126, 3EG J1734-3232, GeV J1732-3130;gamma_GeV;EGRET;detected;? (association not confirmed in revised catalogue);2008
G355.6-00.0;;gamma_GeV;Fermi;(missed);;2016
G355.6-00.0;;gamma_TeV;HESS;(missed);;2018
G355.6-00.0;Suzaku J173530-3236;X;Suzaku;extended;shell, point source;2013
G355.9-02.5;;gamma_GeV;Fermi;detected;?;2016
G355.9-02.5;;gamma_TeV;HESS;(missed);;2018
G356.2+04.5;;gamma_GeV;Fermi;(missed);;2016
G356.2+04.5;;gamma_TeV;HESS;(missed);;2018
G356.3-00.3;2FGL J1737.2-3213, 3FGL J1737.3-3214c;gamma_GeV;Fermi;detected;shell??;2016
G356.3-00.3;;gamma_TeV;HESS;(missed);;2018
G356.3-01.5;;gamma_GeV;Fermi;(missed);;2016
G356.3-01.5;;gamma_TeV;HESS;(missed);;2018
G357.7+00.3;;X;Einstein;extended;shell?;1989
G357.7+00.3;;gamma_GeV;Fermi;detected;?;2016
G357.7+00.3;;gamma_TeV;HESS;(missed);;2018
G357.7-00.1;;X;ASCA;detected;shell?;2003
G357.7-00.1;;X;Chandra;extended;interior of shell? or outflow or PWN ?;2003
G357.7-00.1;0FGL J1741.4-3046, 1FGL J1740.3-3053c, 2FGL J1740.4-3054c, 3FGL J1741.1-3053;gamma_GeV;Fermi;detected;shock+cloud?;2016
G357.7-00.1;;gamma_TeV;HESS;(missed);;2018
G357.7-00.1;;X;ROSAT;detected;shell?;2003
G357.7-00.1;;X;XMM;detected;point sources;2011
G358.0+03.8;1FGL J1725.5-2832, 3FGL J1725.1-2832 and J1729.5-2824;gamma_GeV;Fermi;detected;? (not associated in last catalogue);2016
G358.0+03.8;;gamma_TeV;HESS;(missed);;2018
G358.1+00.1;;gamma_GeV;Fermi;detected;?;2016
G358.1+00.1;;gamma_TeV;HESS;(missed);;2018
G358.3+00.2;;X;Chandra;detected;(unrelated) stellar sources;2016
G358.3+00.2;HESS J1741-302;gamma_TeV;HESS;extended;cloud? PWN? binary? (not associated in HGPS);2018
G358.3+00.2;Suzaku J174035.6-301416;X;Suzaku;detected;(unrelated) intermediate polar candidate;2011
G358.3+00.2;;gamma_TeV;VERITAS;detected;?;2021
G358.5-00.9;2FGL J1745.5-3028c;gamma_GeV;Fermi;detected;? (not present in last catalogue);2016
G358.5-00.9;HESS J1745-303;gamma_TeV;HESS;detected;shell?;2018
G358.6-01.0;;X;Chandra;(missed);;2013
G358.6-01.0;HESS J1745-303B, now also in J1746-308;gamma_TeV;HESS;extended;PWN? (not associated in HGPS);2018
G359.0-00.9;;X;ASCA;extended;shell;2002
G359.0-00.9;3EG J1744-3011;gamma_GeV;EGRET;(missed);(source not confirmed in revised catalogue);2008
G359.0-00.9;;X;Einstein;extended;shell?;1989
G359.0-00.9;;gamma_GeV;Fermi;detected;?;2016
G359.0-00.9;HESS J1745-303;gamma_TeV;HESS;detected;?;2011
G359.0-00.9;;X;Suzaku;extended;shell;2009
G359.1+00.9;G359.1+0.9;X;ASCA;detected;?;2002
G359.1+00.9;2FGL J1738.9-2908;gamma_GeV;Fermi;(missed);(not present in last catalogue);2016
G359.1+00.9;;gamma_TeV;HESS;(missed);;2018
G359.1-00.5;;gamma_GeV;AGILE;detected;shell+cloud? (not in last catalogue);2019
G359.1-00.5;;X;ASCA;extended;shell;2002
G359.1-00.5;;X;Chandra;detected;shell;2020
G359.1-00.5;3EG J1744-3011;gamma_GeV;EGRET;(missed);(source not confirmed in revised catalogue);2008
G359.1-00.5;;X;Einstein;(missed);;1989
G359.1-00.5;3FGL J1745.1-3011;gamma_GeV;Fermi;extended;shell?, unrelated GC clouds;2016
G359.1-00.5;HESS J1745-303A;gamma_TeV;HESS;extended;shell?;2018
G359.1-00.5;;X;ROSAT;extended;shell;1998
G359.1-00.5;;X;Suzaku;extended;cloud, shell;2021
G359.1-00.5;;X;XMM;detected;point sources (probably unrelated);2008
G359.2-00.8;2AGL J1748-2950;gamma_GeV;AGILE;detected;PSR?;2019
G359.2-00.8;;X;ASCA;extended;PWN?;
G359.2-00.8;;X;Chandra;extended;bow shock PWN;2008
G359.2-00.8;1FGL J1747.2-2958, 2FGL J1747.1-3000, 3FGL J1747.2-2958, 3FHL J1747.2-2959;gamma_GeV;Fermi;detected;PSR;2017
G359.2-00.8;;X;ROSAT;extended;bow shock PWN?;1995
G359.2-00.8;;X;XMM;extended;bow shock PWN;2005
G359.9-00.0;CXOGC J174539.7-290020 and J174539.7-290022;X;Chandra;extended;PSR? and bow shock PWN?;2006
G359.9-00.0;HESS J1745-290;gamma_TeV;HESS;detected;PWN?;2018
G359.9-00.0;;gamma_TeV;VERITAS;detected;PWN??;2021
